# time (s) ,  q1,   q2  
1.2400e+02  1.5518e+04  1.5518e+04 
1.2450e+02  1.5358e+04  1.5358e+04 
1.2500e+02  1.5200e+04  1.5200e+04 
1.2550e+02  1.5044e+04  1.5044e+04 
1.2600e+02  1.4889e+04  1.4889e+04 
1.2650e+02  1.4736e+04  1.4736e+04 
1.2700e+02  1.4584e+04  1.4584e+04 
1.2750e+02  1.4434e+04  1.4434e+04 
1.2800e+02  1.4286e+04  1.4286e+04 
1.2850e+02  1.4139e+04  1.4139e+04 
1.2900e+02  1.3994e+04  1.3994e+04 
1.2950e+02  1.3850e+04  1.3850e+04 
1.3000e+02  1.3707e+04  1.3707e+04 
1.3050e+02  1.3566e+04  1.3566e+04 
1.3100e+02  1.3427e+04  1.3427e+04 
1.3150e+02  1.3289e+04  1.3289e+04 
1.3200e+02  1.3152e+04  1.3152e+04 
1.3250e+02  1.3017e+04  1.3017e+04 
1.3300e+02  1.2883e+04  1.2883e+04 
1.3350e+02  1.2750e+04  1.2750e+04 
1.3400e+02  1.2619e+04  1.2619e+04 
1.3450e+02  1.2489e+04  1.2489e+04 
1.3500e+02  1.2361e+04  1.2361e+04 
1.3550e+02  1.2234e+04  1.2234e+04 
1.3600e+02  1.2108e+04  1.2108e+04 
1.3650e+02  1.1983e+04  1.1983e+04 
1.3700e+02  1.1860e+04  1.1860e+04 
1.3750e+02  1.1738e+04  1.1738e+04 
1.3800e+02  1.1618e+04  1.1618e+04 
1.3850e+02  1.1498e+04  1.1498e+04 
1.3900e+02  1.1380e+04  1.1380e+04 
1.3950e+02  1.1263e+04  1.1263e+04 
1.4000e+02  1.1147e+04  1.1147e+04 
1.4050e+02  1.1032e+04  1.1032e+04 
1.4100e+02  1.0919e+04  1.0919e+04 
1.4150e+02  1.0806e+04  1.0806e+04 
1.4200e+02  1.0695e+04  1.0695e+04 
1.4250e+02  1.0585e+04  1.0585e+04 
1.4300e+02  1.0476e+04  1.0476e+04 
1.4350e+02  1.0369e+04  1.0369e+04 
1.4400e+02  1.0262e+04  1.0262e+04 
1.4450e+02  1.0157e+04  1.0157e+04 
1.4500e+02  1.0052e+04  1.0052e+04 
1.4550e+02  9.9487e+03  9.9487e+03 
1.4600e+02  9.8464e+03  9.8464e+03 
1.4650e+02  9.7451e+03  9.7451e+03 
1.4700e+02  9.6449e+03  9.6449e+03 
1.4750e+02  9.5457e+03  9.5457e+03 
1.4800e+02  9.4475e+03  9.4475e+03 
1.4850e+02  9.3503e+03  9.3503e+03 
1.4900e+02  9.2542e+03  9.2542e+03 
1.4950e+02  9.1590e+03  9.1590e+03 
1.5000e+02  9.0648e+03  9.0648e+03 
1.5050e+02  8.9715e+03  8.9715e+03 
1.5100e+02  8.8793e+03  8.8793e+03 
1.5150e+02  8.7879e+03  8.7879e+03 
1.5200e+02  8.6976e+03  8.6976e+03 
1.5250e+02  8.6081e+03  8.6081e+03 
1.5300e+02  8.5196e+03  8.5196e+03 
1.5350e+02  8.4319e+03  8.4319e+03 
1.5400e+02  8.3452e+03  8.3452e+03 
1.5450e+02  8.2594e+03  8.2594e+03 
1.5500e+02  8.1744e+03  8.1744e+03 
1.5550e+02  8.0904e+03  8.0904e+03 
1.5600e+02  8.0072e+03  8.0072e+03 
1.5650e+02  7.9248e+03  7.9248e+03 
1.5700e+02  7.8433e+03  7.8433e+03 
1.5750e+02  7.7626e+03  7.7626e+03 
1.5800e+02  7.6828e+03  7.6828e+03 
1.5850e+02  7.6038e+03  7.6038e+03 
1.5900e+02  7.5256e+03  7.5256e+03 
1.5950e+02  7.4482e+03  7.4482e+03 
1.6000e+02  7.3716e+03  7.3716e+03 
1.6050e+02  7.2957e+03  7.2957e+03 
1.6100e+02  7.2207e+03  7.2207e+03 
1.6150e+02  7.1464e+03  7.1464e+03 
